Epoch;Iterations;Time [s];Data;G_GAN;G_L1;D_real;D_fake
6;23360;0.005;0.007;0.332;2.817;0.330;0.092
6;23760;0.004;0.007;0.258;3.058;0.272;0.164
6;24160;0.004;0.007;0.406;2.961;0.221;0.162
6;24560;0.003;0.087;0.483;2.743;0.141;0.258
6;24960;0.004;0.007;0.315;2.711;0.285;0.160
6;25360;0.006;0.007;0.369;3.230;0.134;0.254
6;25760;0.003;0.007;0.432;3.076;0.133;0.291
6;26160;0.004;0.007;0.398;3.145;0.220;0.213
6;26560;0.003;0.023;0.382;3.396;0.141;0.265
6;26960;0.004;0.029;0.521;3.656;0.188;0.258
6;27360;0.005;0.049;0.271;2.763;0.228;0.157
6;27760;0.003;0.006;0.266;2.720;0.263;0.162
6;28160;0.003;0.009;0.310;4.098;0.220;0.307
6;28560;0.003;0.008;0.312;3.142;0.347;0.209
6;28960;0.003;0.067;0.316;4.048;0.285;0.150
6;29360;0.006;0.006;0.250;3.052;0.285;0.143
6;29760;0.003;0.005;0.234;3.231;0.285;0.105
6;30160;0.004;0.012;0.280;3.653;0.284;0.165
6;30560;0.003;0.088;0.312;3.619;0.277;0.213
7;32;0.006;0.010;0.233;3.218;0.291;0.172
7;432;0.005;0.011;0.302;3.906;0.160;0.282
7;832;0.004;0.008;0.279;2.842;0.308;0.147
7;1232;0.003;0.070;0.441;3.349;0.146;0.324
7;1632;0.003;0.008;0.264;2.917;0.207;0.260
7;2032;0.004;0.007;0.367;3.529;0.229;0.215
7;2432;0.006;0.038;0.331;3.014;0.209;0.170
7;2832;0.004;0.005;0.387;2.801;0.201;0.297
7;3232;0.003;0.011;0.408;2.770;0.161;0.269
7;3632;0.003;0.013;0.293;2.858;0.337;0.131
7;4032;0.003;0.009;0.364;3.668;0.210;0.232
7;4432;0.005;0.007;0.267;3.013;0.279;0.184
